Label_1,Label_2,Distance
4,0,0.433013
4,1,0.433013
4,2,0.433013
4,3,0.433013
5,1,0.433013
6,2,0.433013
7,3,0.433013
11,5,0.433013
11,6,0.433013
12,8,0.433013
12,9,0.433013
12,10,0.433013
12,11,0.433013
13,9,0.433013
14,10,0.433013
15,11,0.433013
19,13,0.433013
19,14,0.433013
20,16,0.433013
20,17,0.433013
20,18,0.433013
20,19,0.433013
21,17,0.433013
22,18,0.433013
23,19,0.433013
27,21,0.433013
27,22,0.433013
28,24,0.433013
28,25,0.433013
28,26,0.433013
28,27,0.433013
29,3,0.433013
29,25,0.433013
30,3,0.433013
30,26,0.433013
31,27,0.433013
32,29,0.433013
34,5,0.433013
34,7,0.433013
36,32,0.433013
36,33,0.433013
36,34,0.433013
36,35,0.433013
37,33,0.433013
38,34,0.433013
39,35,0.433013
40,5,0.433013
42,13,0.433013
42,15,0.433013
43,37,0.433013
43,38,0.433013
44,40,0.433013
44,41,0.433013
44,42,0.433013
44,43,0.433013
45,41,0.433013
46,42,0.433013
47,43,0.433013
48,13,0.433013
50,21,0.433013
50,23,0.433013
51,45,0.433013
51,46,0.433013
52,48,0.433013
52,49,0.433013
52,50,0.433013
52,51,0.433013
53,49,0.433013
54,50,0.433013
55,51,0.433013
56,21,0.433013
58,29,0.433013
58,31,0.433013
59,53,0.433013
59,54,0.433013
60,56,0.433013
60,57,0.433013
60,58,0.433013
60,59,0.433013
61,35,0.433013
61,57,0.433013
62,35,0.433013
62,58,0.433013
63,59,0.433013
64,61,0.433013
66,37,0.433013
66,39,0.433013
68,64,0.433013
68,65,0.433013
68,66,0.433013
68,67,0.433013
69,65,0.433013
70,66,0.433013
71,67,0.433013
72,37,0.433013
74,45,0.433013
74,47,0.433013
75,69,0.433013
75,70,0.433013
76,72,0.433013
76,73,0.433013
76,74,0.433013
76,75,0.433013
77,73,0.433013
78,74,0.433013
79,75,0.433013
80,45,0.433013
82,53,0.433013
82,55,0.433013
83,77,0.433013
83,78,0.433013
84,80,0.433013
84,81,0.433013
84,82,0.433013
84,83,0.433013
85,81,0.433013
86,82,0.433013
87,83,0.433013
88,53,0.433013
90,61,0.433013
90,63,0.433013
91,85,0.433013
91,86,0.433013
92,88,0.433013
92,89,0.433013
92,90,0.433013
92,91,0.433013
93,67,0.433013
93,89,0.433013
94,67,0.433013
94,90,0.433013
95,91,0.433013
96,93,0.433013
98,69,0.433013
98,71,0.433013
100,96,0.433013
100,97,0.433013
100,98,0.433013
100,99,0.433013
101,2,0.433013
101,8,0.433013
101,97,0.433013
102,98,0.433013
103,2,0.433013
103,99,0.433013
104,69,0.433013
106,77,0.433013
106,79,0.433013
107,101,0.433013
107,102,0.433013
108,104,0.433013
108,105,0.433013
108,106,0.433013
108,107,0.433013
109,10,0.433013
109,16,0.433013
109,105,0.433013
110,106,0.433013
111,10,0.433013
111,107,0.433013
112,77,0.433013
114,85,0.433013
114,87,0.433013
115,109,0.433013
115,110,0.433013
116,112,0.433013
116,113,0.433013
116,114,0.433013
116,115,0.433013
117,18,0.433013
117,24,0.433013
117,113,0.433013
118,114,0.433013
119,18,0.433013
119,115,0.433013
120,85,0.433013
122,93,0.433013
122,95,0.433013
123,117,0.433013
123,118,0.433013
124,120,0.433013
124,121,0.433013
124,122,0.433013
124,123,0.433013
125,0,0.433013
125,26,0.433013
125,99,0.433013
125,121,0.433013
126,99,0.433013
126,122,0.433013
127,26,0.433013
127,123,0.433013
128,30,0.433013
128,103,0.433013
129,6,0.433013
129,7,0.433013
132,128,0.433013
132,129,0.433013
132,130,0.433013
132,131,0.433013
133,129,0.433013
134,130,0.433013
135,131,0.433013
136,6,0.433013
136,111,0.433013
137,14,0.433013
137,15,0.433013
139,133,0.433013
139,134,0.433013
140,136,0.433013
140,137,0.433013
140,138,0.433013
140,139,0.433013
141,137,0.433013
142,138,0.433013
143,139,0.433013
144,14,0.433013
144,119,0.433013
145,22,0.433013
145,23,0.433013
147,141,0.433013
147,142,0.433013
148,144,0.433013
148,145,0.433013
148,146,0.433013
148,147,0.433013
149,145,0.433013
150,146,0.433013
151,147,0.433013
152,22,0.433013
152,127,0.433013
153,30,0.433013
153,31,0.433013
155,149,0.433013
155,150,0.433013
156,152,0.433013
156,153,0.433013
156,154,0.433013
156,155,0.433013
157,131,0.433013
157,153,0.433013
158,131,0.433013
158,154,0.433013
159,155,0.433013
160,7,0.433013
160,62,0.433013
160,157,0.433013
161,38,0.433013
161,39,0.433013
162,133,0.433013
162,135,0.433013
164,160,0.433013
164,161,0.433013
164,162,0.433013
164,163,0.433013
165,161,0.433013
166,162,0.433013
167,163,0.433013
168,15,0.433013
168,38,0.433013
168,133,0.433013
169,46,0.433013
169,47,0.433013
170,141,0.433013
170,143,0.433013
171,165,0.433013
171,166,0.433013
172,168,0.433013
172,169,0.433013
172,170,0.433013
172,171,0.433013
173,169,0.433013
174,170,0.433013
175,171,0.433013
176,23,0.433013
176,46,0.433013
176,141,0.433013
177,54,0.433013
177,55,0.433013
178,149,0.433013
178,151,0.433013
179,173,0.433013
179,174,0.433013
180,176,0.433013
180,177,0.433013
180,178,0.433013
180,179,0.433013
181,177,0.433013
182,178,0.433013
183,179,0.433013
184,31,0.433013
184,54,0.433013
184,149,0.433013
185,62,0.433013
185,63,0.433013
186,157,0.433013
186,159,0.433013
187,181,0.433013
187,182,0.433013
188,184,0.433013
188,185,0.433013
188,186,0.433013
188,187,0.433013
189,163,0.433013
189,185,0.433013
190,163,0.433013
190,186,0.433013
191,187,0.433013
192,39,0.433013
192,94,0.433013
192,189,0.433013
193,70,0.433013
193,71,0.433013
194,165,0.433013
194,167,0.433013
196,192,0.433013
196,193,0.433013
196,194,0.433013
196,195,0.433013
197,193,0.433013
198,194,0.433013
199,195,0.433013
200,47,0.433013
200,70,0.433013
200,165,0.433013
201,78,0.433013
201,79,0.433013
202,173,0.433013
202,175,0.433013
203,197,0.433013
203,198,0.433013
204,200,0.433013
204,201,0.433013
204,202,0.433013
204,203,0.433013
205,201,0.433013
206,202,0.433013
207,203,0.433013
208,55,0.433013
208,78,0.433013
208,173,0.433013
209,86,0.433013
209,87,0.433013
210,181,0.433013
210,183,0.433013
211,205,0.433013
211,206,0.433013
212,208,0.433013
212,209,0.433013
212,210,0.433013
212,211,0.433013
213,209,0.433013
214,210,0.433013
215,211,0.433013
216,63,0.433013
216,86,0.433013
216,181,0.433013
217,94,0.433013
217,95,0.433013
218,189,0.433013
218,191,0.433013
219,213,0.433013
219,214,0.433013
220,216,0.433013
220,217,0.433013
220,218,0.433013
220,219,0.433013
221,195,0.433013
221,217,0.433013
222,195,0.433013
222,218,0.433013
223,219,0.433013
224,71,0.433013
224,126,0.433013
224,221,0.433013
225,102,0.433013
225,103,0.433013
226,197,0.433013
226,199,0.433013
228,224,0.433013
228,225,0.433013
228,226,0.433013
228,227,0.433013
229,130,0.433013
229,136,0.433013
229,225,0.433013
230,226,0.433013
231,130,0.433013
231,227,0.433013
232,79,0.433013
232,102,0.433013
232,197,0.433013
233,110,0.433013
233,111,0.433013
234,205,0.433013
234,207,0.433013
235,229,0.433013
235,230,0.433013
236,232,0.433013
236,233,0.433013
236,234,0.433013
